Timestamp,Pose
1695918619.882049,[]
1695918619.9507172,[]
1695918619.9887493,[]
1695918620.0242605,[]
1695918620.0762632,[]
1695918620.1188118,[]
1695918620.15915,[]
1695918620.2031097,[]
1695918620.2441683,[]
1695918620.280733,[]
1695918620.3162563,[]
1695918620.3532557,[]
1695918620.3872547,[]
1695918620.422194,[]
1695918620.459192,[]
1695918620.4956875,[]
1695918620.532687,[]
1695918620.570382,[]
1695918620.604381,[]
1695918620.6409879,[]
1695918620.6795053,[]
1695918620.7154286,[]
1695918620.7504292,[]
1695918620.790642,[]
1695918620.827642,[]
1695918620.8784947,[]
1695918620.925764,[]
1695918620.962764,[]
1695918621.0047774,[]
1695918621.040473,[]
1695918621.0826259,[]
1695918621.1186264,[]
1695918621.1546266,[]
1695918621.194908,[]
1695918621.230906,[]
1695918621.2725394,[]
1695918621.3135405,[]
1695918621.3515415,[]
1695918621.3935392,[]
1695918621.4455438,[]
1695918621.4875414,[]
1695918621.5235403,[]
1695918621.559541,[]
1695918621.5945399,[]
1695918621.6309059,[]
1695918621.6689084,[]
1695918621.7035637,[]
1695918621.7385638,[]
1695918621.7735639,[]
1695918621.8095636,[]
1695918621.843565,[]
1695918621.8780835,[]
1695918621.9146106,[]
1695918621.9496076,[]
1695918621.9872417,[]
1695918622.7766542,"[[0.3560281991958618, 0.7252132892608643, -0.6684935092926025], [0.3672991394996643, 0.6774959564208984, -0.6363692879676819], [0.375762403011322, 0.6758888363838196, -0.6363005042076111], [0.38326022028923035, 0.6749224662780762, -0.636303186416626], [0.3404412269592285, 0.6766818761825562, -0.6501176357269287], [0.32968470454216003, 0.6749449968338013, -0.6498405337333679], [0.32042935490608215, 0.6730119585990906, -0.6500465869903564], [0.3928033709526062, 0.6817460060119629, -0.4097480773925781], [0.3055657148361206, 0.6819828748703003, -0.46599799394607544], [0.3708045780658722, 0.7613985538482666, -0.5804356336593628], [0.33838221430778503, 0.7611504197120667, -0.5976573824882507], [0.4632028043270111, 0.8835206031799316, -0.20648816227912903], [0.22514958679676056, 0.9304471611976624, -0.33618858456611633], [0.5006093978881836, 1.1360228061676025, 0.015076455660164356], [0.16653762757778168, 1.1975929737091064, -0.2529713809490204], [0.5125624537467957, 1.2963855266571045, 0.02730296179652214], [0.18935829401016235, 1.4193466901779175, -0.391811728477478], [0.5310685038566589, 1.3529033660888672, 0.02237991988658905], [0.1830657422542572, 1.5040537118911743, -0.43768349289894104], [0.515977144241333, 1.358795404434204, -0.015991047024726868], [0.21028494834899902, 1.4961222410202026, -0.48368367552757263], [0.5021343231201172, 1.3349863290786743, 0.007989845238626003], [0.21573033928871155, 1.460416555404663, -0.41462045907974243], [0.42618340253829956, 1.408889889717102, -0.003693570150062442], [0.27312546968460083, 1.4238203763961792, 0.0060048834420740604], [0.4274354875087738, 1.7945730686187744, -0.07655365020036697], [0.2949037253856659, 1.804577350616455, -0.061436206102371216], [0.4373139441013336, 2.15633225440979, 0.19969552755355835], [0.30782926082611084, 2.156705141067505, 0.159114807844162], [0.44112223386764526, 2.222040891647339, 0.20706406235694885], [0.30683305859565735, 2.2236223220825195, 0.16887323558330536], [0.42177024483680725, 2.2768306732177734, -0.11421608924865723], [0.3404351472854614, 2.26503324508667, -0.1749231368303299]]"
1695918622.821351,"[[0.35146915912628174, 0.7251788377761841, -0.6247049570083618], [0.3644075393676758, 0.6771228909492493, -0.5971261858940125], [0.3728892505168915, 0.6754425764083862, -0.5972251892089844], [0.3809342682361603, 0.674342930316925, -0.5973795056343079], [0.3371121287345886, 0.6767217516899109, -0.5965497493743896], [0.3271200358867645, 0.6750634908676147, -0.5962480306625366], [0.3187475800514221, 0.6732354760169983, -0.5964763760566711], [0.3923031687736511, 0.681729257106781, -0.38190752267837524], [0.305593341588974, 0.6821432113647461, -0.3695252239704132], [0.3687652051448822, 0.7613955140113831, -0.539569079875946], [0.3360188901424408, 0.7611492872238159, -0.5367243885993958], [0.4646725654602051, 0.8953132033348083, -0.2097579538822174], [0.2272053211927414, 0.9301509261131287, -0.21508924663066864], [0.507075846195221, 1.182978868484497, -0.13218995928764343], [0.1590510457754135, 1.1901226043701172, -0.12334046512842178], [0.5137506127357483, 1.4044370651245117, -0.26194459199905396], [0.16489623486995697, 1.4185683727264404, -0.30725201964378357], [0.5315839052200317, 1.4834579229354858, -0.3045758605003357], [0.1542419046163559, 1.5025361776351929, -0.35850340127944946], [0.5133607983589172, 1.4867665767669678, -0.3434961140155792], [0.18002434074878693, 1.4962005615234375, -0.4079267382621765], [0.5010208487510681, 1.4527239799499512, -0.28546857833862305], [0.1874471753835678, 1.4616923332214355, -0.3345930576324463], [0.4260958135128021, 1.4286357164382935, -0.03255492448806763], [0.27301421761512756, 1.4302737712860107, 0.035268284380435944], [0.42413002252578735, 1.838742971420288, -0.10462208092212677], [0.28306901454925537, 1.8349801301956177, 0.02119285613298416], [0.42052239179611206, 2.211329460144043, 0.1930347979068756], [0.28141477704048157, 2.2070913314819336, 0.24331781268119812], [0.4247916340827942, 2.2795684337615967, 0.20357266068458557], [0.2786976397037506, 2.2782986164093018, 0.2552732527256012], [0.39073193073272705, 2.3366665840148926, -0.1251644790172577], [0.30317801237106323, 2.325800895690918, -0.08682902902364731]]"
1695918622.8677924,"[[0.3511979579925537, 0.7235354781150818, -0.6082370281219482], [0.3641425669193268, 0.6746340990066528, -0.5789902210235596], [0.37259408831596375, 0.6728267073631287, -0.5791365504264832], [0.38065510988235474, 0.6715800762176514, -0.5793266296386719], [0.336600124835968, 0.6761137247085571, -0.5809386968612671], [0.3266317844390869, 0.6748450994491577, -0.5806629061698914], [0.31842440366744995, 0.6731917262077332, -0.580885648727417], [0.3922785520553589, 0.6806828379631042, -0.3599094748497009], [0.30561357736587524, 0.6822373867034912, -0.3599870800971985], [0.36868247389793396, 0.7599746584892273, -0.5215035080909729], [0.335934042930603, 0.7601276636123657, -0.522035539150238], [0.46606841683387756, 0.8950084447860718, -0.20097008347511292], [0.22831480205059052, 0.9301265478134155, -0.21457341313362122], [0.512239933013916, 1.1866596937179565, -0.12099192291498184], [0.156917542219162, 1.1892313957214355, -0.13311780989170074], [0.5165413618087769, 1.4148367643356323, -0.24626541137695312], [0.16111591458320618, 1.4182357788085938, -0.319794625043869], [0.5343672037124634, 1.49446702003479, -0.2873377203941345], [0.1501181423664093, 1.5005654096603394, -0.37233656644821167], [0.5132869482040405, 1.4997072219848633, -0.32509100437164307], [0.17597278952598572, 1.4962049722671509, -0.42032963037490845], [0.5010255575180054, 1.4652416706085205, -0.2693382501602173], [0.1835537850856781, 1.4623088836669922, -0.3463653028011322], [0.4276980459690094, 1.4324698448181152, -0.032236985862255096], [0.27440139651298523, 1.4347968101501465, 0.03492572531104088], [0.42584484815597534, 1.8480280637741089, -0.10874927043914795], [0.28382378816604614, 1.8420308828353882, -0.043079257011413574], [0.421603262424469, 2.2241642475128174, 0.1754670888185501], [0.2861974239349365, 2.222379684448242, 0.12954269349575043], [0.4252653121948242, 2.2927489280700684, 0.18506135046482086], [0.28397831320762634, 2.2957282066345215, 0.137058824300766], [0.3970035910606384, 2.350663661956787, -0.13990789651870728], [0.3109270930290222, 2.3385303020477295, -0.20987895131111145]]"
1695918622.911356,"[[0.3507820963859558, 0.722605288028717, -0.592085063457489], [0.36399972438812256, 0.673186182975769, -0.5624728798866272], [0.3724263310432434, 0.6714951992034912, -0.5626679062843323], [0.3805334270000458, 0.670383870601654, -0.5628596544265747], [0.33632928133010864, 0.6753202676773071, -0.5650960206985474], [0.32635563611984253, 0.6742517948150635, -0.5648252964019775], [0.31819260120391846, 0.6727542281150818, -0.5650478005409241], [0.3922789394855499, 0.6805679202079773, -0.3460795283317566], [0.3055800497531891, 0.6821969151496887, -0.34843894839286804], [0.36835914850234985, 0.7595841288566589, -0.506833553314209], [0.33523187041282654, 0.7594380974769592, -0.508033812046051], [0.46627020835876465, 0.8951045274734497, -0.1956108808517456], [0.2282780110836029, 0.9300276637077332, -0.2037421464920044], [0.5143334269523621, 1.1852400302886963, -0.14780518412590027], [0.15536487102508545, 1.1899136304855347, -0.1237422376871109], [0.5246968269348145, 1.4003039598464966, -0.3098117709159851], [0.16274279356002808, 1.4192160367965698, -0.3065747618675232], [0.5454517602920532, 1.4739806652069092, -0.3564890921115875], [0.15292949974536896, 1.5005767345428467, -0.3558729887008667], [0.5205434560775757, 1.4788341522216797, -0.3942282497882843], [0.1783500611782074, 1.4974509477615356, -0.40217918157577515], [0.508267343044281, 1.4469430446624756, -0.33396902680397034], [0.18539881706237793, 1.4646689891815186, -0.33207616209983826], [0.42855948209762573, 1.4358712434768677, -0.03381557762622833], [0.2756320834159851, 1.4402517080307007, 0.036497797816991806], [0.4286831319332123, 1.8545058965682983, -0.11184795200824738], [0.2850577235221863, 1.8525832891464233, -0.043811142444610596], [0.42574745416641235, 2.2334225177764893, 0.169662207365036], [0.286428302526474, 2.234760046005249, 0.13320553302764893], [0.43028324842453003, 2.3028085231781006, 0.1794988363981247], [0.284626841545105, 2.307852029800415, 0.14111283421516418], [0.3985806107521057, 2.36014461517334, -0.14166265726089478], [0.3147202134132385, 2.3508851528167725, -0.20068760216236115]]"
1695918622.957899,"[[0.35085660219192505, 0.7204478979110718, -0.5975018739700317], [0.364023894071579, 0.6715825200080872, -0.5678762793540955], [0.37244465947151184, 0.6700591444969177, -0.5680420994758606], [0.38055333495140076, 0.6690438389778137, -0.5681906342506409], [0.3363906741142273, 0.6735005974769592, -0.5723868608474731], [0.3264542818069458, 0.6724227070808411, -0.572066068649292], [0.3183245360851288, 0.6709898710250854, -0.5722790956497192], [0.39229053258895874, 0.6796178817749023, -0.34848764538764954], [0.30560192465782166, 0.680875837802887, -0.35866817831993103], [0.36836689710617065, 0.757936418056488, -0.5109001994132996], [0.3352469801902771, 0.7575552463531494, -0.5144757032394409], [0.4662598669528961, 0.8919374942779541, -0.1906375139951706], [0.22790026664733887, 0.9298896789550781, -0.21228668093681335], [0.5164812803268433, 1.1802701950073242, -0.12307991087436676], [0.15557333827018738, 1.190171480178833, -0.1286473423242569], [0.5292547941207886, 1.3871309757232666, -0.27185001969337463], [0.16303937137126923, 1.4193999767303467, -0.3136041760444641], [0.5502855181694031, 1.459143877029419, -0.31677937507629395], [0.15216977894306183, 1.5005935430526733, -0.3649377226829529], [0.5254274606704712, 1.4632699489593506, -0.35933274030685425], [0.17652244865894318, 1.497539758682251, -0.4146670699119568], [0.5129607915878296, 1.4323652982711792, -0.2977067232131958], [0.1844480186700821, 1.4648271799087524, -0.34077438712120056], [0.42920956015586853, 1.4344455003738403, -0.03070046380162239], [0.2757347822189331, 1.439963936805725, 0.03337186574935913], [0.43038997054100037, 1.8470438718795776, -0.12940996885299683], [0.2876160740852356, 1.8471801280975342, -0.08282415568828583], [0.4281686842441559, 2.2229316234588623, 0.11887741088867188], [0.2874755263328552, 2.2237863540649414, 0.060297489166259766], [0.43297725915908813, 2.2910983562469482, 0.1242545023560524], [0.2863175570964813, 2.295736312866211, 0.06328132748603821], [0.4008881151676178, 2.3489789962768555, -0.2033572494983673], [0.3174270987510681, 2.3382184505462646, -0.28083914518356323]]"
1695918623.0119188,"[[0.35090190172195435, 0.719075083732605, -0.6004384160041809], [0.3645370602607727, 0.6699758172035217, -0.5776440501213074], [0.3730607330799103, 0.668661892414093, -0.5777043104171753], [0.38113003969192505, 0.667856752872467, -0.5778513550758362], [0.33677566051483154, 0.6716762185096741, -0.5821018815040588], [0.32669511437416077, 0.6706655025482178, -0.5817647576332092], [0.318518728017807, 0.669318437576294, -0.5819414258003235], [0.3927989602088928, 0.6792315244674683, -0.3498402237892151], [0.30567628145217896, 0.6797015070915222, -0.3753298223018646], [0.36837607622146606, 0.7571248412132263, -0.5198453664779663], [0.3352327346801758, 0.756046712398529, -0.5229468941688538], [0.4658769965171814, 0.8989681601524353, -0.16995827853679657], [0.22603969275951385, 0.9332277774810791, -0.2341422736644745], [0.5152823328971863, 1.1934621334075928, -0.09095649421215057], [0.15366195142269135, 1.1964638233184814, -0.15952612459659576], [0.5234965085983276, 1.4154789447784424, -0.197466641664505], [0.1641646921634674, 1.4390757083892822, -0.3812541663646698], [0.5410219430923462, 1.4952640533447266, -0.23314940929412842], [0.15341952443122864, 1.5256938934326172, -0.44334641098976135], [0.516956090927124, 1.50005304813385, -0.27509889006614685], [0.17958006262779236, 1.525894284248352, -0.49274078011512756], [0.50542151927948, 1.466359257698059, -0.22211799025535583], [0.18709631264209747, 1.4907855987548828, -0.4085720181465149], [0.4295637011528015, 1.4459798336029053, -0.030198683962225914], [0.2753755748271942, 1.453122854232788, 0.03279127925634384], [0.4321826994419098, 1.8580347299575806, -0.12473605573177338], [0.2930704951286316, 1.8609086275100708, -0.061999063938856125], [0.433682382106781, 2.233065366744995, 0.18464499711990356], [0.2991151213645935, 2.2339518070220947, 0.13679386675357819], [0.4378994107246399, 2.300255060195923, 0.19384172558784485], [0.2961277365684509, 2.3045740127563477, 0.14586800336837769], [0.40991711616516113, 2.357240915298462, -0.16683171689510345], [0.33032292127609253, 2.3489491939544678, -0.23498037457466125]]"
